ADM_CD,ADM_NM,lat,lng,행정동코드,시도,시군구,행정동명,행정동명_전체,총인구수,0_4세,5_9세,10_12세,13_15세,16_18세,19_24세,25_34세,35_49세,50_64세,65세이상
33041540,영운동,36.61901890142002,127.50044815682584,4311167000,충청북도,청주시 상당구,영운동,충청북도 청주시 상당구 영운동,9532.0,159.0,179.0,152.0,199.0,218.0,461.0,1079.0,1575.0,2680.0,2830.0
33041550,금천동,36.62701758560809,127.50722076481382,4311168000,충청북도,청주시 상당구,금천동,충청북도 청주시 상당구 금천동,28470.0,610.0,926.0,860.0,1045.0,1022.0,1776.0,3261.0,5598.0,7608.0,5764.0
33041560,용담·명암·산성동,36.650164909945005,127.52557994308896,4311169000,충청북도,청주시 상당구,용담.명암.산성동,충청북도 청주시 상당구 용담.명암.산성동,12370.0,291.0,613.0,556.0,648.0,572.0,808.0,1096.0,2769.0,3131.0,1886.0
33041570,용암1동,36.6274489607814,127.52879584560227,4311172000,충청북도,청주시 상당구,용암1동,충청북도 청주시 상당구 용암1동,56178.0,1690.0,2520.0,1947.0,2096.0,1917.0,3324.0,7534.0,13080.0,13966.0,8104.0
33041580,용암2동,36.61761012121144,127.54220694818034,4311173000,충청북도,청주시 상당구,용암2동,충청북도 청주시 상당구 용암2동,44251.0,1875.0,2443.0,1601.0,1572.0,1347.0,2351.0,6274.0,10841.0,10422.0,5525.0
33042310,남이면,36.56625814490545,127.42240251000752,4311231000,충청북도,청주시 서원구,남이면,,,,,,,,,,,,
33042320,현도면,36.49561053754481,127.43418697009352,4311232000,충청북도,청주시 서원구,현도면,,,,,,,,,,,,
33042510,사직1동,36.64084536254983,127.47661806871938,4311251000,충청북도,청주시 서원구,사직1동,충청북도 청주시 서원구 사직1동,3915.0,67.0,80.0,52.0,77.0,95.0,169.0,407.0,654.0,1150.0,1164.0
33042520,사직2동,36.63244615488357,127.47512947954084,4311252000,충청북도,청주시 서원구,사직2동,충청북도 청주시 서원구 사직2동,10636.0,401.0,459.0,334.0,395.0,356.0,554.0,1162.0,2254.0,2498.0,2223.0
33042530,사창동,36.63428889875295,127.4635206413538,4311253000,충청북도,청주시 서원구,사창동,충청북도 청주시 서원구 사창동,13888.0,174.0,205.0,190.0,225.0,256.0,1620.0,2945.0,2366.0,2801.0,3106.0
33042540,모충동,36.624691664512056,127.48073751237852,4311254000,충청북도,청주시 서원구,모충동,충청북도 청주시 서원구 모충동,21333.0,1046.0,784.0,377.0,391.0,432.0,1823.0,3300.0,4381.0,4553.0,4246.0
33042550,산남동,36.61080373564759,127.47217292695206,4311255000,충청북도,청주시 서원구,산남동,충청북도 청주시 서원구 산남동,24453.0,468.0,902.0,792.0,1060.0,1060.0,1833.0,2999.0,5253.0,6747.0,3339.0
33042560,분평동,36.59853244465319,127.4855371683036,4311256000,충청북도,청주시 서원구,분평동,충청북도 청주시 서원구 분평동,27170.0,505.0,796.0,799.0,950.0,1064.0,1900.0,3497.0,4918.0,8010.0,4731.0
33042570,수곡1동,36.617103744666224,127.48625559089083,4311257000,충청북도,청주시 서원구,수곡1동,충청북도 청주시 서원구 수곡1동,12245.0,129.0,190.0,155.0,219.0,239.0,836.0,1564.0,1823.0,3332.0,3758.0
33042580,수곡2동,36.61836986087275,127.47368275964136,4311258000,충청북도,청주시 서원구,수곡2동,충청북도 청주시 서원구 수곡2동,14447.0,270.0,329.0,285.0,321.0,377.0,723.0,1601.0,2321.0,4108.0,4112.0
